0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:55:20 +0900] "POST /covid/rest-hspt/req-inptnt-detail HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:55:21 +0900] "POST /covid/rest-hspt/req-inptnt-detail HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:55:21 +0900] "GET /covid/hspt/req-sckbd-list HTTP/1.1" 200 25804
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:55:21 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode= HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:03:34 +0900] "GET /covid/indexPage?mCode=M040400 HTTP/1.1" 200 10404
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:03:34 +0900] "GET /covid/common/loading HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:03:34 +0900] "GET /covid/hspt/req-sckbd-list HTTP/1.1" 200 25804
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:03:34 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode= HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:04:21 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js.map HTTP/1.1" 200 129651
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:04:21 +0900] "GET /covid/resources/bootstrap/plugins/summernote/summernote-bs4.min.js.map HTTP/1.1" 200 427683
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:04:21 +0900] "GET /covid/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:04:21 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/pdfmake.min.js.map HTTP/1.1" 200 3895295
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:04:21 +0900] "GET /covid/resources/bootstrap/dist/css/adminlte.min.css.map HTTP/1.1" 200 3783134
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:25 +0900] "GET /covid/ HTTP/1.1" 200 7441
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:27 +0900] "GET /covid/common/loginForm HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:32 +0900] "POST /covid/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:32 +0900] "GET /covid/common/set-session HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:32 +0900] "GET /covid/indexPage?mCode=M030000 HTTP/1.1" 200 10408
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:32 +0900] "GET /covid/common/loading HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:32 +0900] "GET /covid/pbhlth/main HTTP/1.1" 200 16347
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:34 +0900] "GET /covid/pbhlth/cnfrm-list HTTP/1.1" 200 23211
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:05:34 +0900] "GET /covid/rest-pbht/cnfrm-list?page=1&perPageNum=&searchType=&keyword=&typeCode= HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:06:26 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js.map HTTP/1.1" 200 129651
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:06:26 +0900] "GET /covid/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:06:26 +0900] "GET /covid/resources/bootstrap/plugins/summernote/summernote-bs4.min.js.map HTTP/1.1" 200 427683
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:06:26 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/pdfmake.min.js.map HTTP/1.1" 200 3895295
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:06:26 +0900] "GET /covid/resources/bootstrap/dist/css/adminlte.min.css.map HTTP/1.1" 200 3783134
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/indexPage?mCode=M040400 HTTP/1.1" 200 10407
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/common/loading HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/resources/bootstrap/dist/css/adminlte.min.css.map HTTP/1.1" 200 3783134
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js.map HTTP/1.1" 200 129651
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/resources/bootstrap/plugins/summernote/summernote-bs4.min.js.map HTTP/1.1" 200 427683
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/pdfmake.min.js.map HTTP/1.1" 200 3895295
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:10:13 +0900] "GET /covid/hspt/req-sckbd-list HTTP/1.1" 200 25990
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:11:35 +0900] "GET /covid/indexPage?mCode=M040400 HTTP/1.1" 200 10407
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:11:35 +0900] "GET /covid/common/loading HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:11:35 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js.map HTTP/1.1" 200 129651
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:11:35 +0900] "GET /covid/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 316181
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:11:35 +0900] "GET /covid/resources/bootstrap/plugins/summernote/summernote-bs4.min.js.map HTTP/1.1" 200 427683
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:11:35 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/pdfmake.min.js.map HTTP/1.1" 200 3895295
